,Searched,City,State,Lat,Lng,Restaurant,Category,Transactions,Category 1,Category 2,Category 3,Vegan Options
14866,"Upper Arlington city, Ohio",Upper Arlington,OH,40.05301,-83.06643,Jet's Pizza,['Pizza'],"['delivery', 'pickup']",Pizza,,,False
14867,"Upper Arlington city, Ohio",Upper Arlington,OH,40.006454,-83.045752,Starbucks,['Coffee & Tea'],['delivery'],Coffee & Tea,,,False
14868,"Upper Arlington city, Ohio",Columbus,OH,39.9737646,-83.0048784,Comfest,"['Local Flavor', 'Arts & Entertainment']",[],Local Flavor,Arts & Entertainment,,False
14869,"Upper Arlington city, Ohio",Columbus,OH,39.9999199296137,-83.0209462820312,Olentangy River Greenway,['Parks'],[],Parks,,,False
14870,"Upper Arlington city, Ohio",Columbus,OH,39.9850282,-83.0364514,Miner 49er,"['Mini Golf', 'Cocktail Bars']",[],Mini Golf,Cocktail Bars,,False
14871,"Upper Arlington city, Ohio",Columbus,OH,39.97217,-83.00416,Omega Artisan Baking,"['Bakeries', 'Breakfast & Brunch', 'Cooking Classes']",[],Bakeries,Breakfast & Brunch,Cooking Classes,False
14872,"Upper Arlington city, Ohio",Columbus,OH,39.9635158,-82.9983656108379,Mitchell's Steakhouse,['Steakhouses'],"['pickup', 'delivery']",Steakhouses,,,False
14873,"Upper Arlington city, Ohio",Columbus,OH,39.95064,-83.00385,Matt and Tony's Wood Fired Kitchen,"['American (New)', 'Steakhouses', 'Seafood']","['pickup', 'delivery']",American (New),Steakhouses,Seafood,False
14874,"Upper Arlington city, Ohio",Columbus,OH,39.95901,-83.000229,Nosh on High,"['American (Traditional)', 'Tapas/Small Plates', 'Seafood']",['delivery'],American (Traditional),Tapas/Small Plates,Seafood,False
14875,"Upper Arlington city, Ohio",Columbus,OH,39.9628314717694,-83.0001911420038,Eliá Athenian Grill,"['Greek', 'Mediterranean']","['pickup', 'delivery']",Greek,Mediterranean,,False
14876,"Upper Arlington city, Ohio",Dublin,OH,40.075061,-83.075941,Jack & Benny's Barnstormer Diner,"['Breakfast & Brunch', 'Sandwiches']",['delivery'],Breakfast & Brunch,Sandwiches,,False
14877,"Upper Arlington city, Ohio",Columbus,OH,39.9682698315263,-83.005733974278,Rodizio Grill,"['Brazilian', 'Steakhouses', 'Buffets']",[],Brazilian,Steakhouses,Buffets,False
14878,"Upper Arlington city, Ohio",Columbus,OH,40.066865031473,-83.0970136588546,Bravo! Italian Kitchen,['Italian'],"['pickup', 'delivery']",Italian,,,False
14879,"Upper Arlington city, Ohio",Columbus,OH,39.9923896789551,-83.0056076049805,Zaki Grill,"['Food Trucks', 'Mediterranean', 'Middle Eastern']",[],Food Trucks,Mediterranean,Middle Eastern,False
14880,"Upper Arlington city, Ohio",Columbus,OH,39.9446588489904,-83.0061270089887,Scioto Audubon Metro Park,['Parks'],[],Parks,,,False
14881,"Upper Arlington city, Ohio",Columbus,OH,39.9869228,-83.0056973,Two Truths,['Cocktail Bars'],"['pickup', 'delivery']",Cocktail Bars,,,False
14882,"Upper Arlington city, Ohio",Columbus,OH,39.98831,-83.0401399,Happy House Chinese Retaurant,['Chinese'],"['pickup', 'delivery']",Chinese,,,False
14883,"Upper Arlington city, Ohio",Columbus,OH,40.063548,-83.040982,Hoggy's Restaurant and Catering,"['American (Traditional)', 'Barbeque', 'Chicken Wings']","['pickup', 'delivery']",American (Traditional),Barbeque,Chicken Wings,False
14884,"Upper Arlington city, Ohio",Hilliard,OH,40.035405,-83.119175,Grandad's Pizza & Pub,"['Pizza', 'Pubs']","['pickup', 'delivery']",Pizza,Pubs,,False
14885,"Upper Arlington city, Ohio",Columbus,OH,39.94453,-83.12418,Los Galapagos,['Latin American'],['delivery'],Latin American,,,False
14886,"Upper Arlington city, Ohio",Columbus,OH,39.97217,-83.00416,Dos Hermanos,['Mexican'],['pickup'],Mexican,,,False
14887,"Upper Arlington city, Ohio",Columbus,OH,40.0531201,-83.0670649,Sunny Street Cafe,"['Breakfast & Brunch', 'Coffee & Tea', 'American (New)']","['pickup', 'delivery']",Breakfast & Brunch,Coffee & Tea,American (New),False
14888,"Upper Arlington city, Ohio",Columbus,OH,40.0636651449131,-83.0406560986925,Tandoori Grill,"['Indian', 'Pakistani', 'Halal']","['pickup', 'delivery']",Indian,Pakistani,Halal,False
14889,"Upper Arlington city, Ohio",Columbus,OH,40.00963,-83.01051,Cazuela's Grill,"['Mexican', 'Seafood', 'Steakhouses']","['pickup', 'delivery']",Mexican,Seafood,Steakhouses,False
14890,"Upper Arlington city, Ohio",Columbus,OH,39.99768,-83.0069,Ethyl & Tank,"['Bars', 'Coffee & Tea', 'American (Traditional)']","['pickup', 'delivery']",Bars,Coffee & Tea,American (Traditional),False
14891,"Upper Arlington city, Ohio",Columbus,OH,39.96325,-83.00032,Cafe Napolitana,"['Pizza', 'Italian', 'Bars']","['pickup', 'delivery']",Pizza,Italian,Bars,False
14892,"Upper Arlington city, Ohio",Columbus,OH,40.0069356,-83.0449738,Moe's Southwest Grill,"['Tex-Mex', 'Mexican']","['pickup', 'delivery']",Tex-Mex,Mexican,,False
14893,"Upper Arlington city, Ohio",Dublin,OH,40.077605,-83.131919,Ronin Sushi,['Sushi Bars'],"['pickup', 'delivery']",Sushi Bars,,,False
14894,"Upper Arlington city, Ohio",Columbus,OH,39.9821226,-83.0042372,Simply Rolled Ice Cream,['Ice Cream & Frozen Yogurt'],"['pickup', 'delivery']",Ice Cream & Frozen Yogurt,,,False
14895,"Upper Arlington city, Ohio",Columbus,OH,39.9970908972511,-83.0743374126083,Pointe Tavern,"['Bars', 'Pool Halls', 'American (Traditional)']",['delivery'],Bars,Pool Halls,American (Traditional),False
